gene	score
RAB5A	1.5462030818513788
OPTN	1.5461164249470054
KCTD5	1.5325565104653618
RFXAP	1.5293548338709249
VIM	1.5282512108287758
MDC1	1.5250384334411464
ASXL1	1.5250384334411464
NLRC3	1.51599114871671
ITPKB	1.51599114871671
UBAP1	1.5148658609598447
PLEC	1.50873881498623
KIF20A	1.5070774572824395
PPP1R13L	1.5066599890663117
RBMX	1.5066599890663117
AFTPH	1.5043731845104318
MAP7D1	1.5020796483244487
MPRIP	1.5016268373383288
CDK11A	1.5011591738537235
LIME1	1.5010000153204548
HMGCR	1.5008392319717456
HDAC7	1.50067683007497
TOMM22	1.4995128158613116
TRIM28	1.494840759210239
CLCC1	1.4922366812530845
ZNF654	1.4922366812530845
IGF2R	1.4922366812530845
PRDM2	1.4922366812530845
NUP107	1.4910507292550688
TBC1D9B	1.4898632542477406
DHX16	1.4882917478929014
HMOX2	1.487098237413251
OXR1	1.483508758764899
MSH6	1.4830818166766042
PPIG	1.4830818166766042
ALG3	1.470364667400241
OSBP	1.470364667400241
KCTD10	1.4669212801129357
KPNA3	1.4668578079375312
SPG11	1.4668578079375312
RAVER1	1.4668578079375312
ARHGEF7	1.4668578079375312
MINDY1	1.4668578079375312
EIF4ENIF1	1.4668578079375312
ZC3HC1	1.4663843278990039
MAP2K2	1.4639055010195368
USP20	1.4626640941939022
SEC61B	1.4534373106470413
SPNS1	1.4521880359539485
SH3GL1	1.451685604616843
WDR62	1.451432456876401
MAP4K5	1.4476653383086928
GRK2	1.445624767013614
NFKB2	1.4443614838686565
VAMP8	1.438026437955062
NFATC3	1.4337557319667487
CDKN2AIP	1.4316607226101559
LMNB2	1.4316607226101559
CCM2	1.431383944229252
ABI1	1.4308267843666638
CDKN1A	1.4308267843666638
FTSJ3	1.423546410847644
LARP1	1.4209820963927986
PRRC2C	1.41969816330177
MCM2	1.4194130514992471
STIM1	1.4178393072372795
NDRG3	1.4129699467449273
CBX8	1.41167784336768
KLC1	1.4090901843909378
TOP2A	1.4012001212466303
PFKFB3	1.3936010724030925
EEF2	1.3916940619089364
TP53BP1	1.3913894895705874
RASA3	1.390083805436942
TNRC6C	1.3861601176717813
CRTC3	1.3826489045618628
EML4	1.3796894462103992
WBP11	1.3743675017453298
UBE2O	1.3733953395863245
MYCBP2	1.3707419902215965
ARHGAP25	1.3694137528952128
NF1	1.3627541690268816
