kinase,aCD3_5min,aCD3_aCD226_5min,aCD3_aICOS_5min,aCD3_aCD2_5min,aCD3_10min,aCD3_aCD226_10min,aCD3_aICOS_10min,aCD3_aCD2_10min
PDPK1,1.8874563400563862,2.5847049804944264,3.3174146607904125,2.170268366674007,3.123938141867653,2.2760239729726575,4.613717283459012,2.7033612205249264
PIM1,0.9638322203825341,1.107923911924062,0.769751011587149,-0.3990377124254985,0.5619835126123541,0.22703949550628702,0.15582400368217678,1.1920235102508447
PIM2,-0.17775371704902163,0.5719713687747775,0.5418936669884985,1.0083360395428773,0.7256438870986522,0.8061068194019505,0.43026633330646125,0.2918566008044551
PKM,-2.602685193209946,-1.8441820337116368,-1.1899500012187343,-2.0761891707286066,-2.368512055327744,-3.028023140674069,-2.0889739156518945,-1.9876775008704288
PLK1,0.5741547845673877,0.6330909565198427,-0.21559637860180103,0.5462162241856344,0.1835199774017725,-0.23111065380868484,0.08128116461435161,0.5917241198585691
PLK4,0.7934907246079125,0.35037743549775363,0.437466648236659,0.8938162145433602,-0.20958537592497625,0.4073689817005235,-0.2853385051355397,0.7837736282002901
PRKAA1,1.559105306365534,1.3770279727833041,1.2462229657020243,1.6689289567709114,1.5375029742600066,0.9576694957658635,0.9626642555060736,0.7411968146161905
PRKAA2,-2.2674144535522056,-1.4800157443525972,-2.896278184449441,-2.050121262752418,-2.182995301598644,-2.0101515191139354,-1.1058988875700566,-2.4532974066754254
PRKAB1,-1.0245347351813539,-0.12938536585504481,-0.699440569361264,-1.002560311384878,-0.2393632988192586,-0.4538445986526678,-0.09124112374720095,-0.7753899659444352
PRKACA,2.5680617912789803,3.167635989116193,2.2446187287468997,2.5774155560059264,2.05339049038658,2.020678274701167,1.6529411256204007,2.093863862720452
PRKAG2,-0.9536945424405338,-1.2498628629658968,-1.9127315316747664,-1.1742481047947113,-0.6783239520269962,-1.2991421603946274,-0.4854769353579918,-1.3503206372839764
PRKCA,1.1748935682755621,1.174188416912647,0.7752451278116868,1.625736500914304,0.48684792056548726,-0.0739718896901749,0.3549691879553483,0.3207848786925539
PRKCB,1.1450706129540393,0.8311225783228641,1.5565202419084412,1.59958571529426,0.13059187687194357,0.5882188011790199,0.6107970185783181,0.7756157381895584
PRKCD,1.0973512990292398,0.6100381475806675,0.5731895454892565,0.268525631086075,0.9990523533029774,1.2071136890965473,1.3699940106847073,0.9677186307116171
PRKCE,1.149516079959464,0.7801138395409182,1.4534862868949472,1.7400713953916667,1.2254148713299702,1.1670025361678624,1.563806388440878,1.8484899004912596
PRKCI,1.141927667811439,0.3547483934877033,0.2810814685782111,0.5056333834504932,0.06802439335401707,0.605918196910151,-0.4821639204155411,0.8372356869323666
PRKCQ,-0.16169020285802344,0.11051018613602205,0.7006481544876381,0.3108188427041406,1.0270033535359666,0.5004422721086245,1.7874730427330061,1.653794688605176
PRKCZ,2.028979492815172,1.7547989486480804,1.5326034068986114,0.6340803392865243,1.0151969363909905,2.015183913493766,0.7867014273445672,1.6076991894255253
PRKD1,2.0359304775341327,2.1981746333144665,2.4632022044739363,2.039199491010942,2.221346610900555,2.645386685288974,1.4579364573611726,2.4003376803785144
PRKD2,3.114938499432834,2.9252478887553144,3.1547681767637172,2.491006574674617,2.4345092492722595,2.6067563935863247,1.4503468077045905,3.4367962472591307
PRKDC,-1.1053996827225263,-0.570280258499124,-0.6051990220373193,-0.49918901426779017,-1.0585213587293858,-0.2687811396010205,0.6847552121089864,-0.33113960270562365
PRKG1,1.473660344155165,1.7576811455858918,2.179755211053041,1.4124865228284396,1.1794938151634524,1.4812492863002464,0.2962879656807228,1.6476298876576159
