kinase,n_substrates,mean_lfc,z_perm
CDK18,5,1.1616000000000002,0.3203678839746831
BCR,5,1.2273999999999998,0.3179406157250541
CDK3,5,1.1616000000000002,0.2715908148435104
LYN,18,1.0545,0.2582854191272257
CAMK1,5,1.1562000000000003,0.2559736409564086
PIM2,5,0.5405999999999999,-0.17775371704902163
HCK,5,0.6302000000000001,-0.17710486037555817
SGK1,17,0.9465882352941176,0.1746373781190219
ZAP70,15,0.6614666666666668,-0.17316301542736653
CAMK2B,5,0.6118000000000002,-0.1723537449443456
PRKCQ,24,0.7769583333333334,-0.16169020285802344
JAK2,14,0.8506428571428571,0.127222029046063
CDK4,16,0.6527499999999999,-0.12391710473862932
CDC7,7,0.8281428571428572,-0.0995008682647397
CDK6,16,0.8069375000000001,-0.086848965757951
DAPK3,6,0.7621666666666665,-0.08180504604290754
PAK1,36,0.7954166666666667,-0.06946653286486548
CHEK2,19,0.835684210526316,-0.026672616380494892
