contrast_key,contrast_label,kinase,n_substrates,mean_lfc,z_perm,null_mean,null_std
aCD3_5min,αCD3 5min,CAMK2A,14,-0.4060714285714287,-1.6514963921269357,0.7753514285714286,0.7153650851282344
aCD3_5min,αCD3 5min,MTOR,60,-0.35151666666666664,-3.245202488169467,0.8557325,0.37201042802960627
aCD3_5min,αCD3 5min,PKM,7,-1.9517142857142855,-2.602685193209946,0.7402449999999999,1.0343007647399092
aCD3_5min,αCD3 5min,PDPK1,16,2.2043125,1.8874563400563862,0.8769503125,0.7032545120807118
aCD3_5min,αCD3 5min,CSNK1E,6,2.6963333333333335,1.6702197610982656,0.8058991666666667,1.1318475632353897
aCD3_5min,αCD3 5min,CSNK1D,13,1.2241538461538461,0.496746899555873,0.839123076923077,0.7751045242054133
aCD3_5min,αCD3 5min,CSNK1A1,13,-0.3852307692307694,-1.5269601687933203,0.813431923076923,0.784999318780486
aCD3_5min,αCD3 5min,PTK6,5,2.1898,1.0995535224513693,0.9027269999999998,1.1705414731704653
aCD3_5min,αCD3 5min,PAK1,36,0.7954166666666667,-0.06946653286486548,0.828177638888889,0.47160799411067217
aCD3_5min,αCD3 5min,JAK2,14,0.8506428571428571,0.127222029046063,0.7526164285714284,0.7705145823129147
aCD3_5min,αCD3 5min,MARK2,8,1.7592500000000002,1.0128197356471642,0.75655375,0.9900046520709872
aCD3_5min,αCD3 5min,MARK3,5,2.4448,1.254126678222293,0.7559,1.346674167233243
aCD3_5min,αCD3 5min,AURKA,26,0.3766923076923077,-0.8882908860580014,0.8698307692307692,0.5551542510211702
aCD3_5min,αCD3 5min,PAK4,6,1.4470000000000003,0.6548015461189056,0.7392699999999999,1.0808312903272888
aCD3_5min,αCD3 5min,PRKCQ,24,0.7769583333333334,-0.16169020285802344,0.856453125,0.49164878428948
aCD3_5min,αCD3 5min,PRKG1,15,1.7956666666666665,1.473660344155165,0.8467676666666667,0.6439061780847434
aCD3_5min,αCD3 5min,PTK2,15,0.3152666666666665,-0.7515583067066428,0.8797643333333334,0.7511029571881351
aCD3_5min,αCD3 5min,MAPK11,11,1.3412727272727272,0.5245342931151928,0.9019472727272728,0.8375533502992037
aCD3_5min,αCD3 5min,PRKCB,21,1.5075238095238095,1.1450706129540393,0.7744271428571429,0.640219614732259
aCD3_5min,αCD3 5min,MAPK9,11,1.973181818181818,1.3490429564276576,0.8701668181818182,0.8176277817875022
aCD3_5min,αCD3 5min,CHUK,8,1.544,0.6929536484507829,0.80069625,1.0726601290891296
aCD3_5min,αCD3 5min,ULK1,9,-0.09533333333333337,-1.1255259684601302,0.9199222222222222,0.902027659961112
aCD3_5min,αCD3 5min,RPS6KB1,19,2.147684210526316,1.9183758662154877,0.8583818421052632,0.6720801648555703
aCD3_5min,αCD3 5min,PIM1,13,1.4880769230769233,0.9638322203825341,0.7862826923076923,0.728129041474352
aCD3_5min,αCD3 5min,PRKCI,11,1.783909090909091,1.141927667811439,0.830499090909091,0.8349127767674267
aCD3_5min,αCD3 5min,BRAF,7,2.0244285714285715,1.2008919334134243,0.7164178571428573,1.0891993508256939
aCD3_5min,αCD3 5min,RPS6KA1,29,2.1162758620689655,2.5495830221594087,0.8667546551724138,0.4900884560480993
aCD3_5min,αCD3 5min,PRKD1,15,2.4078,2.0359304775341327,0.8041896666666666,0.7876547608224744
aCD3_5min,αCD3 5min,RAF1,7,2.181142857142857,1.2671896015520225,0.7771621428571429,1.1079484179527304
aCD3_5min,αCD3 5min,RPS6KA3,11,2.225909090909091,1.5871482651236002,0.7933800000000001,0.9025805102067965
aCD3_5min,αCD3 5min,IKBKB,14,1.575357142857143,0.9011683145939487,0.9053585714285713,0.7434777283869125
aCD3_5min,αCD3 5min,ATR,28,-0.24007142857142855,-1.9804811891027991,0.8175126785714286,0.5340036113253697
aCD3_5min,αCD3 5min,CDK9,19,-0.526,-2.1553545569027883,0.8166986842105263,0.6229595404200986
aCD3_5min,αCD3 5min,PLK1,62,1.0386451612903227,0.5741547845673877,0.8537087096774194,0.32210208219765796
aCD3_5min,αCD3 5min,NEK6,18,1.2922777777777776,0.7597629351935273,0.7561424999999999,0.7056612700397301
aCD3_5min,αCD3 5min,CAMKK1,5,2.4497999999999998,1.240700249603932,0.951627,1.2075221234768514
aCD3_5min,αCD3 5min,MAP4K1,8,-0.4116249999999999,-1.2542524918577087,0.8434024999999999,1.0006179044070649
aCD3_5min,αCD3 5min,SGK1,17,0.9465882352941176,0.1746373781190219,0.8285914705882352,0.6756672940054286
aCD3_5min,αCD3 5min,DYRK2,7,-0.6084285714285713,-1.3083320720479161,0.7107114285714285,1.0082608446150574
aCD3_5min,αCD3 5min,PRKDC,15,0.0027333333333332986,-1.1053996827225263,0.8561133333333334,0.7720103536651843
aCD3_5min,αCD3 5min,LCK,20,1.3428,0.922292043517869,0.7630715000000001,0.6285736758486608
aCD3_5min,αCD3 5min,GSK3A,18,-0.24677777777777768,-1.7203177050712495,0.8365894444444444,0.6297483418490731
aCD3_5min,αCD3 5min,JAK1,5,-1.1046,-1.4959491721446343,0.8332640000000001,1.2954076489255477
aCD3_5min,αCD3 5min,MELK,10,1.2507000000000001,0.5148474940260568,0.8049795000000001,0.865733066921448
aCD3_5min,αCD3 5min,BRSK1,6,-0.25166666666666665,-0.8920953278533988,0.8501116666666667,1.235045514681131
aCD3_5min,αCD3 5min,MAP3K7,13,1.4863846153846154,1.0275267912254644,0.7163838461538461,0.7493729368481374
aCD3_5min,αCD3 5min,CDK7,17,0.3378823529411765,-0.7989207826530573,0.8904252941176471,0.6916116756176817
aCD3_5min,αCD3 5min,DAPK3,6,0.7621666666666665,-0.08180504604290754,0.8571941666666666,1.161633720616173
aCD3_5min,αCD3 5min,PIM2,5,0.5405999999999999,-0.17775371704902163,0.750252,1.179452128937374
aCD3_5min,αCD3 5min,CDK4,16,0.6527499999999999,-0.12391710473862932,0.7394475,0.6996411042919842
aCD3_5min,αCD3 5min,CDK6,16,0.8069375000000001,-0.086848965757951,0.8631196875,0.6468952970215015
aCD3_5min,αCD3 5min,MAP3K5,7,1.2514285714285716,0.34643633177247407,0.8748957142857143,1.0868746220016825
