gene	score
USP20	1.924483757926068
TMPO	1.924483757926068
CORO7	1.908098237413251
HELLS	1.8935087587648993
WDR62	1.8933093018153593
DLGAP5	1.8917021149312496
ADD1	1.8890818166766044
CARD11	1.888872161720756
MADD	1.8882346035312108
ALG3	1.8882346035312108
EML4	1.8882346035312108
PML	1.886364667400241
CBLB	1.8819212801129357
PLEC	1.881697499232713
GLUD1	1.8810178670778586
HUWE1	1.8805579200459508
KLHDC4	1.880092531119419
MSL2	1.874857807937531
OCIAD2	1.8746217386215833
HLA-E	1.8736640941939022
UBAP1	1.869421364624486
SMARCAD1	1.8681773169161426
NFKBIE	1.8639319556497242
LENG1	1.8616852853822436
STIM1	1.8604373106470413
GPATCH8	1.8566653383086928
ERCC6L	1.8566653383086928
MTMR1	1.8544070882446029
PDE3B	1.850886798302651
SNRPC	1.8503614838686564
STK11IP	1.8470969531077677
ATF7IP	1.8448311789494318
OPTN	1.842295917207706
HMGCR	1.8377557319667488
DOP1B	1.8374838033558816
CIT	1.835383944229252
RAB11FIP1	1.8332648468789812
BCLAF1	1.8271267648593876
SPECC1L	1.8235506824690666
MRTFA	1.8202608943720735
ARHGEF2	1.8199699467449275
PRDM2	1.81967784336768
CLASP2	1.8196010724030924
PHF14	1.8196010724030924
SF3B1	1.8166940619089365
RAB5A	1.8166940619089365
MAP3K1	1.8163894895705877
KCTD10	1.8149131822438676
HOOK1	1.8149131822438676
TASOR	1.8149131822438676
BIN2	1.8149131822438676
DDI2	1.8067204451507344
KNL1	1.8047419902215964
SEC61B	1.8047419902215964
SEPTIN9	1.8044137528952127
MSH6	1.804084478097106
PRICKLE3	1.8037541690268815
CEP55	1.7937570679584323
SNAPC4	1.792074841786293
RAVER1	1.792074841786293
EEF2	1.792074841786293
STIM2	1.7877109317121522
PLEKHO1	1.78667755159453
PPME1	1.7846353061430613
AFTPH	1.7818132450575375
VIM	1.7818132450575375
U2AF1	1.7818132450575375
MTMR12	1.7818132450575375
APOBR	1.7818132450575375
IGF2R	1.7797391660935757
PFKL	1.7790183849327486
RPTOR	1.7785655739466288
DCP1B	1.7785655739466288
NF2	1.7752000437189381
H1-4	1.770987519600711
EIF2B4	1.7709866479721936
HLTF	1.7709866479721936
BZW1	1.7709866479721936
TMEM238	1.7706075122407692
E2F8	1.7688465843563175
KAT5	1.761698589217911
CYREN	1.761698589217911
CLCC1	1.7599288860234117
