kinase_gene,substrate_gene
AURKA,AURKAIP1
AURKA,SOX8
AURKA,WWC1
AURKA,AR
AURKA,TIFA
AURKA,FANCA
AURKA,LIMK1
AURKA,NUSAP1
AURKA,HNRNPK
AURKA,CENPA
AURKA,RASSF1
AURKA,MCM2
AURKA,GMNN
AURKA,RALA
AURKA,TACC3
AURKA,YY1
AURKA,CDC25B
IKBKB,SNAP23
GTF2F1,GTF2F1
GTF2F1,RARG
LATS1,INCENP
LATS1,YAP1
LATS1,MAP3K11
LATS1,SASH1
LATS1,CDC26
LATS1,RPTOR
LATS1,LATS1
LATS1,PRPS1
LATS1,RAF1
LATS1,KIF23
LATS1,AMOT
LATS1,PRPS2
LATS1,WWTR1
PDGFRB,PDGFRB
PDGFRB,PDGFRA
PDGFRB,PTK2
PDGFRB,ABL2
PDGFRB,THOC5
PDGFRB,PLCG1
PDGFRB,FYN
PDGFRB,ETV6
PDGFRB,TNK2
PDGFRB,MUC1
PDGFRB,SRC
VRK1,COIL
CDK7,CDK11B
CDK7,RB1
CDK7,MCM2
CDK7,POU5F1
CDK7,CDK2
CDK7,ESR1
CDK7,CDK6
CDK7,OGFOD1
CDK7,TP53
CDK7,SUPT5H
CDK7,CDK9
CDK7,POLR2A
CDK7,MED1
CDK7,RARA
CDK7,XRN2
CDK7,E2F1
CDK7,CDK4
CDK7,SMAD1
CDK7,CDK1
CDK7,PCGF6
CDK7,ERCC3
CDK7,RARG
CDK7,CDK12
CDK7,AR
CDK7,NR5A1
FGFR4,FGFR4
FGFR4,STK4
MAPK8,DCX
DYRK4,DYRK4
PTK2,SHC1
PTK2,ARHGEF7
EGFR,CBL
STK38,YAP1
STK38,XPO1
STK38,STK38
STK38,RAB3IP
STK38,KIF23
PRKAG2,TP53BP1
PRKAG2,SRSF1
PRKAG2,RRN3
PRKAG2,PDHA1
PRKAG2,STIM1
PRKAG2,SKP2
PRKAG2,NEDD4L
FYN,FCGR2C
FYN,FCGR2A
PRKAA1,PRKAB1
PRKAA1,MAPT
PRKAA1,ALDH2
PRKAA1,ATG9A
PRKAA1,CCNY
PRKAA1,NET1
PRKAA1,IRS1
PRKAA1,FH
PRKAA1,CD274
PRKAA1,PRKN
PRKAA1,AMOTL1
PRKAA1,PRKAA1
PRKAA1,SNX17
PRKAA1,HDAC5
PRKAA1,HIPK2
PRKAA1,PTS
PRKAA1,MCU
PRKAA1,GAPDH
PRKAA1,GFPT1
PRKAA1,DNM1L
PRKAA1,NOS3
PRKAA1,VASP
PRKAA1,ACACA
PRKAA1,PPP1R3C
PRKAA1,TP53BP1
PRKAA1,JAK1
PRKAA1,YAP1
PRKAA1,SRSF1
PRKAA1,BTRC
PRKAA1,RACK1
PRKAA1,EPM2A
PRKAA1,NFE2L2
PRKAA1,RUNX2
PRKAA1,RRN3
PRKAA1,KLC2
PRKAA1,PARP1
PRKAA1,KPNA2
PRKAA1,PDHA1
PRKAA1,EEF2K
PRKAA1,CFTR
PRKAA1,PFKFB2
PRKAA1,STIM1
PRKAA1,KCNA5
PRKAA1,FOXO3
PRKAA1,CDKN1B
PRKAA1,EXO1
PRKAA1,GLI1
PRKAA1,DDIT3
PRKAA1,RBBP7
PRKAA1,PRPS2
