gene	score
SPG11	1.7847123106055767
URI1	1.7846373258262112
VEZT	1.7830990956537691
H2BC12	1.7824814665245814
PFKFB2	1.7808594512297857
MTMR1	1.7719673645026124
ARFGAP2	1.7719673645026124
TNRC6C	1.771421410003356
PARP1	1.7713280793971757
ASAP1	1.7713280793971757
CCDC9	1.769232859895058
DDX3X	1.7676845442643252
PSD4	1.7665865061293433
OCC1	1.7664865986420055
RBM7	1.766175737152787
KLF2	1.766175737152787
STRN4	1.7650684291051277
MDM1	1.7650684291051277
RASA3	1.7628483270141138
TNIP1	1.7612921640296504
HNRNPA1	1.755620960013462
IREB2	1.7538266248961492
SMARCAD1	1.7538266248961492
EIF4ENIF1	1.7521446668240623
TRAF7	1.7496400135138837
MPRIP	1.7496400135138837
SORBS3	1.7490749604524944
PRIMPOL	1.744943549705831
KIAA1671	1.7432431850355128
LMNB2	1.7432431850355128
NDRG3	1.7425389427801303
CLASP1	1.7361189175867928
KLC1	1.733975514475744
ZSWIM8	1.7334031801744127
NSD1	1.7312572502272523
BIRC6	1.7306836562329388
VPS50	1.7258094288663242
SNRNP200	1.7189248469889453
MMACHC	1.7157681375100289
RBBP6	1.7088692276357265
ARID4A	1.7082882286155534
CISD2	1.70712501978369
DIDO1	1.70712501978369
KIDINS220	1.7049602017370484
PPIG	1.703377191190018
BLM	1.700625762673585
POLA1	1.6994561539053545
RERE	1.6994561539053545
LASP1	1.6988707548742201
F11R	1.6961121882547547
PNN	1.6955252120442326
NR2C2	1.6953500831030401
SEC23IP	1.692173390424306
RNF168	1.692173390424306
HIP1R	1.6899951399256792
MFAP1	1.6876339889719625
MSL2	1.6872666769170659
CHD8	1.6872666769170659
ZNF551	1.686893249911722
MAP2K2	1.686893249911722
PYCR2	1.6799179364781365
UBL7	1.675530916909423
BAD	1.6627390163128069
CCM2	1.6621383675886734
ATN1	1.653935970167136
SGTA	1.6339021573847374
JMJD1C	1.6214785456196923
STAT3	1.6110492326189232
GPBP1L1	1.5980046365612206
UNC45A	1.5971736668280723
ALG3	1.5402034141514802
ANP32A	1.5379720771519676
CNOT4	1.5079354966835177
RBL1	1.498207312580124
PEA15	1.4929619513137056
CEP55	1.45583539758855
GAPVD1	1.4552080226495077
MTMR12	1.4171269487717488
USP36	1.39778572763073
SFPQ	1.3925137990198628
DHX16	1.3888773775106689
CDC25B	1.362775099566357
LIPE	1.3494965191373995
RAVER1	1.3488567800306448
PPM1G	1.3220120920567797
NAP1L4	1.3093702730930854
CAPZA2	1.3057281589657512
AEBP2	1.2772251361713949
THEMIS2	1.2689359292627977
RFTN1	1.2576455609270636
CRKL	1.2504145836659104
MPZL1	1.245472548822244
MRTFA	1.201879171855633
CAMK4	1.1786310680670737
TRIT1	1.1563759257050548
DCP1B	1.1221901133357624
ZBTB48	1.0762860871099538
HLTF	1.0689710943212172
SLAMF1	1.0526550227805205
CORO7	1.0513378758801675
DOP1B	1.0217361286014408
FUBP1	1.0190744959593467
THOC2	1.0144253352503056
UGP2	1.0094357144929327
KPNA3	1.0067719858855777
HELZ	0.9901144737610869
EHBP1	0.9794494483105924
SGPP1	0.9247807678822767
TOMM22	0.9097542677728777
HCFC1	0.8352619880594856
TLNRD1	0.8255854848952277
DMXL1	0.8109087409443188
ARID2	0.8092317565649392
USP28	0.7998770679494979
ITGAE	0.7975214218984166
WIZ	0.7614092421709953
SUB1	0.7580483805967299
LRCH3	0.7563675974298472
RPS6	0.7436865798032787
ZNF22	0.7229601715720261
CAMSAP1	0.7155955696106097
JUND	0.7038635835972452
PHKB	0.6911279061260048
TRIM37	0.6543885586277488
SMARCA4	0.6497031508051435
BAP1	0.6356455623472513
GTF2I	0.6198989383453485
PLEKHF1	0.6198989383453485
ESYT2	0.6125242724806074
ALKBH5	0.5947722459885029
CUSTOS	0.5913948905136547
NUP98	0.5826375079047503
OSBPL11	0.5819476075122868
ESYT1	0.5812574858571522
ATRX	0.5805671432548722
FAM53B	0.578185796467611
IGHMBP2	0.5774204653358687
HNRNPK	0.5767285848818923
CKAP2L	0.569958881687393
ZNF692	0.5692659120868213
LIG3	0.5688793224739727
TAF3	0.56718570307356
PRR12	0.5647978166095687
KATNA1	0.5640194615273499
NCBP1	0.5640194615273499
MSL3	0.5640194615273499
HAPSTR1	0.5633243365710413
STIP1	0.5597556626238568
CHORDC1	0.5593613732965234
YTHDF2	0.5593613732965234
PRDM11	0.5586639121327939
SYNRG	0.5565702661631174
PECAM1	0.5565702661631174
CEMIP2	0.555871964321762
EPB41L2	0.5550766654601326
CAMK1	0.5536777651850242
PPME1	0.5522780340876404
PDPK1	0.5521768846642481
ERBIN	0.5507750865245339
MYSM1	0.5490738787495313
ATP2B1	0.5459690239965025
C2CD2L	0.5452669962084682
RBMX	0.5441596881608092
GAPDH	0.542235527806564
HERC1	0.542235527806564
CIC	0.5415312680167689
ARHGEF1	0.5404172822279925
SF3A2	0.5403014925406942
BORCS5	0.5377711876214697
PRICKLE3	0.5341124034363722
PDLIM2	0.5334041699786884
CCNY	0.5332782953631623
FAM169A	0.5325692799515377
RBM27	0.5318600697058924
JUNB	0.5287312725695648
UBAP2	0.523179404894662
KIF21A	0.5224684528134205
SHKBP1	0.5130612633917001
SLC4A1AP	0.5130612633917001
CASP2	0.5046353473905663
TRAF1	0.503922105064836
AKT3	0.501208673522547
SBF1	0.4973530601712849
HIPK1	0.49520937556255484
E2F7	0.494494439230094
CD247	0.48806400584537396
SSH2	0.4585938459414505
EPRS1	0.4447189618088184
ELAVL1	0.43840118914868204
KRI1	0.4249123752889299
TCEA3	0.4144684502456992
TBC1D2B	0.40257846869510244
CAMK2D	0.3796164710999138
MAP2K4	0.37453873878028265
PURB	0.37453873878028265
DIAPH3	0.37453873878028265
NUP210	0.3712701596197122
MPLKIP	0.33868199889363404
WASF2	0.31956032210164953
ZNF106	0.31782799205274415
SEC61B	0.3128970251633711
LAMTOR1	0.3128970251633711
SPECC1L	0.3126970766304702
HBS1L	0.3126970766304702
SMC4	0.31222962664435466
PLEKHA3	0.311761524422909
SLC1A4	0.3095581516384538
SAFB2	0.3063533202742102
ZNF777	0.3063533202742102
NFATC3	0.3063533202742102
EIF2AK4	0.3044666795876093
NCOA5	0.3039934164404186
SARNP	0.30378232579795983
YWHAZ	0.3033074703382499
RPL37A	0.3033074703382499
RALGPS2	0.3028319806458491
HEATR1	0.30109399844076706
LUC7L	0.3006175602665674
BCLAF1	0.2979237100688511
SLC19A2	0.2979237100688511
SLAMF7	0.29744507205451765
ATXN2	0.29674574532950987
HMGXB4	0.29674574532950987
HNRNPA2B1	0.29662455481563754
ERCC6	0.29662455481563754
PRKDC	0.29662455481563754
SUZ12	0.29662455481563754
BMP2K	0.29662455481563754
DOCK7	0.29662455481563754
SRSF10	0.2901664303354476
SNX27	0.2897028510955579
STX6	0.2897028510955579
YTHDC2	0.2885055826186661
ANAPC2	0.2885055826186661
UNKL	0.2885055826186661
WDR20	0.2885055826186661
MAPKBP1	0.2885055826186661
TSC2	0.28775948176761257
SLC25A19	0.2872668351920228
TCF12	0.2872668351920228
SRSF9	0.28702675573919895
DOK2	0.28702675573919895
CHD4	0.2867947496745408
AREL1	0.2867947496745408
CLCC1	0.2867947496745408
ANK3	0.2867947496745408
CRTC3	0.28555026360570307
PVR	0.28555026360570307
PHF20L1	0.28380654010190615
LMNA	0.28355856536670376
SKA3	0.28355856536670376
DUSP22	0.2830591930669854
WDR26	0.2830591930669854
TASOR2	0.2823092906736109
MSANTD2	0.27955924433915996
HSP90B1	0.27880905422922475
FUS	0.2765576228981568
TBC1D13	0.2765576228981568
MAP9	0.2758068593365055
ZNF408	0.2750559528230608
CDC5L	0.2730509005248965
ARK2N	0.2707956183099584
CETN2	0.2707956183099584
NDEL1	0.27004357405857426
CARMIL2	0.2697865930283553
RELL1	0.2697865930283553
SPRY1	0.2642812337218073
PKP4	0.26152834296426536
LEO1	0.25902214004066215
CDS2	0.25676178452583437
UBE2E3	0.25623730513623544
ARHGEF12	0.25623730513623544
ZC3H13	0.25623730513623544
GON4L	0.2552182078274301
CDK11A	0.2524412288607072
OXCT1	0.2516854203104374
MED14	0.2494171719273683
GCSAM	0.24714769267472442
FOXO1	0.2451198127938853
ASXL2	0.24108976178869507
HNRNPA0	0.2405739251408503
MYBBP1A	0.24005754933548615
FTSJ3	0.24005754933548615
BIN2	0.23150519894891436
BORCS6	0.22522721820399935
IQSEC1	0.22018804709569692
PRR11	0.21866766556730655
CDAN1	0.20786439953454655
EZH2	0.20710335111246098
RSL1D1	0.20065379017559062
CSDE1	0.20065379017559062
RIPK1	0.20065379017559062
DLGAP5	0.19104724960174965
EXOSC10	0.1834362523270379
SLC7A6OS	0.17212909131775045
PTPN6	0.17028137239144364
CBX6	0.16651146218856253
SNRK	0.15420100107155202
MSH6	0.15243060429228633
ADD1	0.1478056803177862
ACACA	0.14517641627496797
KIAA0930	0.12799736016659358
SIPA1L1	0.12745140566733706
IL10RB	0.11226285555903882
TXNL1	0.1006165017933243
WIPI2	0.1006165017933243
PPP1R11	0.0927413262550653
TBC1D5	0.08719044158144253
DNAJC1	0.07286324494125879
WRAP53	0.06931120215673835
BRD7	0.06698227282629485
CYREN	0.059544083589030364
PAXX	0.058989285557185286
CTU2	0.05521171551436665
SPHK2	0.04654390822124869
SENP1	0.04576554358298836
RPS26	0.0450929857226292
MCM3	0.0450929857226292
MYO1F	0.03975518836463053
EIF2B4	0.036196096505955504
MRPS36	0.034416382831704756
ETV6	0.032856620560130244
FYN	0.02929641247812164
ZNF185	0.026174662488043468
SNRPC	0.021393947765059384
ACAP1	0.010452372249279362
WRNIP1	0.007190421520088578
XBP1	0.007190421520088578
ERCC6L	0.007190421520088578
KMT2B	0.004568938444111486
ATXN1	0.00378452270364055
CDC42EP3	-0.00299999999999998
UPF1	-0.004568938444111486
HDGFL2	-0.005705529647001193
FBXO4	-0.006623849182713404
CCT6A	-0.007190421520088578
PGRMC1	-0.009670009177864636
PATJ	-0.010452372249279362
ADRM1	-0.010452372249279362
TP53BP2	-0.026174662488043468
PCYT1A	-0.02673575948767292
WDHD1	-0.03975518836463053
